date,return,adjClose
1975-01-02,18.085,118.085
1975-01-03,18.085,118.085
1975-01-06,18.085,118.085
1975-01-07,18.085,118.085
1975-01-08,18.085,118.085
1975-01-09,18.085,118.085
1975-01-10,18.085,118.085
1975-01-13,18.085,118.085
1975-01-14,18.085,118.085
1975-01-15,18.085,118.085
1975-01-16,18.085,118.085
1975-01-17,18.085,118.085
1975-01-20,18.085,118.085
1975-01-21,18.085,118.085
1975-01-22,18.085,118.085
1975-01-23,18.085,118.085
1975-01-24,18.085,118.085
1975-01-27,18.085,118.085
1975-01-28,18.085,118.085
1975-01-29,18.085,118.085
1975-01-30,18.085,118.085
1975-01-31,18.085,118.085
1975-02-03,4.034,122.849
1975-02-04,4.034,122.849
1975-02-05,4.034,122.849
1975-02-06,4.034,122.849
1975-02-07,4.034,122.849
1975-02-10,4.034,122.849
1975-02-11,4.034,122.849
1975-02-12,4.034,122.849
1975-02-13,4.034,122.849
1975-02-14,4.034,122.849
1975-02-18,4.034,122.849
1975-02-19,4.034,122.849
1975-02-20,4.034,122.849
1975-02-21,4.034,122.849
1975-02-24,4.034,122.849
1975-02-25,4.034,122.849
1975-02-26,4.034,122.849
1975-02-27,4.034,122.849
1975-02-28,4.034,122.849
1975-03-03,4.75,128.684
1975-03-04,4.75,128.684
1975-03-05,4.75,128.684
1975-03-06,4.75,128.684
1975-03-07,4.75,128.684
1975-03-10,4.75,128.684
1975-03-11,4.75,128.684
1975-03-12,4.75,128.684
1975-03-13,4.75,128.684
1975-03-14,4.75,128.684
1975-03-17,4.75,128.684
1975-03-18,4.75,128.684
1975-03-19,4.75,128.684
1975-03-20,4.75,128.684
1975-03-21,4.75,128.684
1975-03-24,4.75,128.684
1975-03-25,4.75,128.684
1975-03-26,4.75,128.684
1975-03-27,4.75,128.684
1975-03-31,4.75,128.684
1975-04-01,4.685,134.713
1975-04-02,4.685,134.713
1975-04-03,4.685,134.713
1975-04-04,4.685,134.713
1975-04-07,4.685,134.713
1975-04-08,4.685,134.713
1975-04-09,4.685,134.713
1975-04-10,4.685,134.713
1975-04-11,4.685,134.713
1975-04-14,4.685,134.713
1975-04-15,4.685,134.713
1975-04-16,4.685,134.713
1975-04-17,4.685,134.713
1975-04-18,4.685,134.713
1975-04-21,4.685,134.713
1975-04-22,4.685,134.713
1975-04-23,4.685,134.713
1975-04-24,4.685,134.713
1975-04-25,4.685,134.713
1975-04-28,4.685,134.713
1975-04-29,4.685,134.713
1975-04-30,4.685,134.713
1975-05-01,4.736,141.093
1975-05-02,4.736,141.093
1975-05-05,4.736,141.093
1975-05-06,4.736,141.093
1975-05-07,4.736,141.093
1975-05-08,4.736,141.093
1975-05-09,4.736,141.093
1975-05-12,4.736,141.093
1975-05-13,4.736,141.093
1975-05-14,4.736,141.093
1975-05-15,4.736,141.093
1975-05-16,4.736,141.093
1975-05-19,4.736,141.093
1975-05-20,4.736,141.093
1975-05-21,4.736,141.093
1975-05-22,4.736,141.093
1975-05-23,4.736,141.093
1975-05-27,4.736,141.093
1975-05-28,4.736,141.093
1975-05-29,4.736,141.093
1975-05-30,4.736,141.093
1975-06-02,6.458,150.204
1975-06-03,6.458,150.204
1975-06-04,6.458,150.204
1975-06-05,6.458,150.204
1975-06-06,6.458,150.204
1975-06-09,6.458,150.204
1975-06-10,6.458,150.204
1975-06-11,6.458,150.204
1975-06-12,6.458,150.204
1975-06-13,6.458,150.204
1975-06-16,6.458,150.204
1975-06-17,6.458,150.204
1975-06-18,6.458,150.204
1975-06-19,6.458,150.204
1975-06-20,6.458,150.204
1975-06-23,6.458,150.204
1975-06-24,6.458,150.204
1975-06-25,6.458,150.204
1975-06-26,6.458,150.204
1975-06-27,6.458,150.204
1975-06-30,6.458,150.204
1975-07-01,-5.731,141.596
1975-07-02,-5.731,141.596
1975-07-03,-5.731,141.596
1975-07-07,-5.731,141.596
1975-07-08,-5.731,141.596
1975-07-09,-5.731,141.596
1975-07-10,-5.731,141.596
1975-07-11,-5.731,141.596
1975-07-14,-5.731,141.596
1975-07-15,-5.731,141.596
1975-07-16,-5.731,141.596
1975-07-17,-5.731,141.596
1975-07-18,-5.731,141.596
1975-07-21,-5.731,141.596
1975-07-22,-5.731,141.596
1975-07-23,-5.731,141.596
1975-07-24,-5.731,141.596
1975-07-25,-5.731,141.596
1975-07-28,-5.731,141.596
1975-07-29,-5.731,141.596
1975-07-30,-5.731,141.596
1975-07-31,-5.731,141.596
1975-08-01,-2.816,137.609
1975-08-04,-2.816,137.609
1975-08-05,-2.816,137.609
1975-08-06,-2.816,137.609
1975-08-07,-2.816,137.609
1975-08-08,-2.816,137.609
1975-08-11,-2.816,137.609
1975-08-12,-2.816,137.609
1975-08-13,-2.816,137.609
1975-08-14,-2.816,137.609
1975-08-15,-2.816,137.609
1975-08-18,-2.816,137.609
1975-08-19,-2.816,137.609
1975-08-20,-2.816,137.609
1975-08-21,-2.816,137.609
1975-08-22,-2.816,137.609
1975-08-25,-2.816,137.609
1975-08-26,-2.816,137.609
1975-08-27,-2.816,137.609
1975-08-28,-2.816,137.609
1975-08-29,-2.816,137.609
1975-09-02,-4.224,131.796
1975-09-03,-4.224,131.796
1975-09-04,-4.224,131.796
1975-09-05,-4.224,131.796
1975-09-08,-4.224,131.796
1975-09-09,-4.224,131.796
1975-09-10,-4.224,131.796
1975-09-11,-4.224,131.796
1975-09-12,-4.224,131.796
1975-09-15,-4.224,131.796
1975-09-16,-4.224,131.796
1975-09-17,-4.224,131.796
1975-09-18,-4.224,131.796
1975-09-19,-4.224,131.796
1975-09-22,-4.224,131.796
1975-09-23,-4.224,131.796
1975-09-24,-4.224,131.796
1975-09-25,-4.224,131.796
1975-09-26,-4.224,131.796
1975-09-29,-4.224,131.796
1975-09-30,-4.224,131.796
1975-10-01,5.228,138.687
1975-10-02,5.228,138.687
1975-10-03,5.228,138.687
1975-10-06,5.228,138.687
1975-10-07,5.228,138.687
1975-10-08,5.228,138.687
1975-10-09,5.228,138.687
1975-10-10,5.228,138.687
1975-10-13,5.228,138.687
1975-10-14,5.228,138.687
1975-10-15,5.228,138.687
1975-10-16,5.228,138.687
1975-10-17,5.228,138.687
1975-10-20,5.228,138.687
1975-10-21,5.228,138.687
1975-10-22,5.228,138.687
1975-10-23,5.228,138.687
1975-10-24,5.228,138.687
1975-10-27,5.228,138.687
1975-10-28,5.228,138.687
1975-10-29,5.228,138.687
1975-10-30,5.228,138.687
1975-10-31,5.228,138.687
1975-11-03,3.615,143.7
1975-11-04,3.615,143.7
1975-11-05,3.615,143.7
1975-11-06,3.615,143.7
1975-11-07,3.615,143.7
1975-11-10,3.615,143.7
1975-11-11,3.615,143.7
1975-11-12,3.615,143.7
1975-11-13,3.615,143.7
1975-11-14,3.615,143.7
1975-11-17,3.615,143.7
1975-11-18,3.615,143.7
1975-11-19,3.615,143.7
1975-11-20,3.615,143.7
1975-11-21,3.615,143.7
1975-11-24,3.615,143.7
1975-11-25,3.615,143.7
1975-11-26,3.615,143.7
1975-11-28,3.615,143.7
1975-12-01,-0.415,143.104
1975-12-02,-0.415,143.104
