date,adjClose
2008-10-01,1294.3476
2009-09-29,1268.3523
2008-02-19,1532.4409
2014-12-17,2959.3596
2015-03-08,3012.7324
2014-01-29,2563.3846
2007-09-06,1651.9599
1998-08-19,605.1454
2005-09-20,1310.5621
2017-03-28,3517.5803
1995-06-25,334.136
2010-10-11,1526.987
2017-03-23,3479.3389
2009-11-10,1287.6088
2011-01-12,1691.0429
2013-08-25,2345.37
2001-05-14,786.8926
1997-01-06,457.9207
2021-07-19,5312.0691
2002-08-18,745.1713
2000-07-11,669.1675
2000-11-26,704.406
2005-04-26,1187.3424
2015-03-04,3049.7487
2012-05-22,1712.7998
2004-04-14,1008.1537
2011-06-27,1746.5184
2017-12-17,3853.5615
1999-09-20,631.9323
2008-11-02,1053.2272
2007-07-16,1821.4917
2008-08-10,1520.2822
2006-08-31,1494.578
2011-11-28,1551.6454
1996-02-25,396.0685
1996-06-30,410.1675
2009-03-03,741.9391
1986-07-30,112.715
2007-06-14,1819.5913
2011-02-07,1750.0919
2020-12-06,4435.2287
2017-05-02,3524.102
2004-09-01,1050.5545
2005-05-05,1208.549
1998-10-08,544.3968
2020-08-26,3838.3108
2016-06-27,2983.1631
2011-05-12,1796.8367
2021-01-25,4646.2909
1996-03-19,399.5571
2007-08-20,1659.38
1998-02-10,624.7075
1996-12-16,444.0696
1997-05-27,498.3141
1997-09-25,585.5526
2006-02-28,1445.0283
2019-12-03,4142.3397
2017-10-24,3675.3864
2002-02-13,793.1853
2014-05-04,2748.0429
2017-03-14,3544.9595
1998-02-05,620.0623
2020-10-04,3885.9649
2013-10-03,2413.8983
2005-03-20,1222.877
2013-03-18,2189.44
1998-01-11,582.0463
2000-06-25,653.4653
2010-12-16,1633.4273
2002-08-20,747.7383
2005-11-24,1362.9867
2017-06-19,3572.815
2011-09-01,1525.0707
1998-11-18,625.9786
2020-10-13,3943.8795
2015-12-17,2765.7408
2009-12-06,1294.9324
1995-07-24,345.3176
2012-10-11,1871.6907
2020-09-07,3761.1458
2004-04-19,1001.131
2004-02-25,1022.5171
2001-08-07,778.5938
2000-02-27,571.5615
1998-06-02,651.5212
2005-08-22,1314.1341
2018-10-22,3720.2072
2006-02-02,1404.7747
2009-10-07,1279.9313
2019-12-05,4187.9646
2008-06-24,1528.8595
2020-11-05,3984.7291
2016-02-24,2708.9743
2012-04-11,1794.301
2020-02-18,4375.4145
2021-05-03,5378.0611
2017-05-04,3538.7551
2018-08-05,3972.1432
2020-01-14,4325.417
1996-02-20,394.042
2012-03-26,1837.4348
2012-08-01,1757.1608
2004-03-01,1037.8038
1996-07-01,409.6198
2002-01-10,779.1905
2014-08-13,2844.3762
2021-03-29,5122.5456
2018-08-19,3998.2602
2013-01-31,2107.2884
2012-03-21,1811.1436
1995-10-25,353.9854
1996-05-08,399.0964
2018-09-17,4018.2964
2016-06-07,3118.639
2008-08-28,1501.3586
2010-10-18,1518.9432
2018-06-10,3907.1426
2000-08-09,680.145
2017-02-27,3558.2155
2005-10-02,1349.8907
2002-12-11,710.9689
2010-11-11,1560.053
2018-02-07,3635.5433
2005-04-06,1229.5797
2012-07-19,1760.7946
2011-02-27,1762.9348
2008-01-02,1576.8623
2017-01-26,3478.4609
2000-02-10,586.364
1992-01-30,209.259
2020-06-25,3403.7861
1999-12-02,636.6691
2014-02-05,2536.3272
1997-06-04,505.1052
2001-12-26,782.9842
2014-01-02,2573.9471
2019-06-23,3961.5914
2006-06-13,1394.2965
2019-12-25,4294.853
2000-01-02,627.1183
1997-11-30,598.4635
2013-04-15,2200.5269
2018-08-12,3919.146
2003-08-05,807.2316
2015-10-26,2884.3278
2007-02-08,1714.2518
2008-12-01,890.5933
2016-08-24,3218.1789
2009-08-12,1193.2496
2020-06-02,3676.0979
2007-12-25,1643.4919
2011-11-01,1610.8606
2016-01-25,2613.8745
1993-09-29,287.682
2018-02-12,3730.3947
2012-09-11,1895.6984
2002-08-06,704.1715
2007-10-17,1719.3359
2019-11-03,4145.1054
1999-09-26,618.9677
2014-03-05,2710.6885
2005-06-15,1278.3059
2020-10-06,3920.2547
