date,adjClose
2017-08-22,2526.6651
2013-08-04,1728.8355
2013-09-17,1770.4
1995-07-04,357.2312
2000-12-27,921.6818
2007-09-25,1200.9282
1999-03-11,683.3132
2000-01-10,1004.0471
2001-12-10,713.2484
2018-10-30,2894.3921
1993-02-27,266.696
2015-01-25,2130.3351
2007-12-11,1195.4018
2015-06-22,2271.0933
2002-10-10,479.2769
2004-01-22,773.3087
2008-11-03,733.0081
2002-04-04,677.4031
1995-10-16,386.7503
2010-07-26,1009.5881
2001-05-28,798.1544
2020-06-03,3788.9258
2016-08-11,2262.5836
2005-01-03,829.3179
2006-05-09,1055.5943
2006-04-09,1034.7168
1995-09-14,391.4924
2017-09-06,2576.6253
1995-07-11,369.8483
2011-06-05,1293.3202
2001-12-05,731.2236
2005-07-14,907.7934
2004-02-12,778.2936
2004-03-14,753.4512
2007-10-29,1219.3044
2020-04-16,3299.4491
2013-03-21,1531.5035
2007-10-10,1234.3901
2019-11-05,3454.0269
2020-01-20,3800.4113
2012-01-26,1294.4134
2004-08-31,731.3092
2010-12-29,1225.2059
2008-07-07,1070.4971
2004-08-26,731.7964
2007-06-20,1196.4642
2000-05-03,1065.225
2017-04-26,2467.8214
2004-11-23,823.2225
2011-11-21,1158.9695
1997-08-03,565.8478
1996-09-09,427.4214
2008-05-18,1195.7945
2010-10-13,1091.5143
2021-07-11,5495.9377
2015-05-17,2263.0977
2005-02-14,858.235
1995-08-14,375.3
2021-07-20,5473.7158
1995-09-13,395.0843
2004-08-23,720.8868
1999-06-03,733.1338
2002-09-23,471.3578
1995-10-02,382.2142
2020-09-15,4067.6633
2003-05-07,564.4536
2006-03-13,1015.1225
1996-12-04,473.6275
2019-08-13,3317.9081
1999-03-23,668.0651
2010-08-05,1016.8667
2000-02-24,1192.8444
2004-12-16,842.9277
1987-05-30,142.919
2016-09-26,2247.2393
2021-05-02,5171.6399
2004-04-18,786.3472
1995-10-04,379.7507
2019-03-20,3251.1629
1998-04-07,634.3735
2007-10-25,1221.252
2009-09-07,867.8672
1999-09-12,757.9884
2021-02-22,5127.0016
2003-03-27,528.0813
2006-04-16,1026.5588
2017-06-28,2510.6175
2014-08-14,1991.9339
2000-01-26,1052.3279
2004-07-01,771.376
1993-06-29,274.435
2019-07-10,3478.6453
2007-05-22,1187.274
1997-10-15,590.4149
2012-02-07,1333.2733
2016-08-03,2241.8658
2002-08-21,551.0314
2006-06-20,963.1586
2011-10-31,1190.8812
2015-10-26,2128.5807
2005-06-07,860.4228
2010-12-19,1220.7434
2021-04-20,5209.716
2019-03-05,3136.1242
2018-04-12,2881.0498
2010-11-03,1146.0508
2021-01-20,5161.6362
2013-07-09,1652.5582
2004-04-22,794.8885
2006-10-03,1003.7318
2008-08-14,1085.65
2011-09-13,1181.9611
2013-03-11,1527.7504
2010-06-07,958.2396
2008-04-22,1121.4205
2016-01-28,1947.8215
2005-06-20,879.7165
2004-01-08,756.8136
2001-07-31,736.6379
1991-09-29,223.07
2014-06-04,1972.2823
2016-06-21,2148.4925
2021-08-18,5446.005
2004-05-19,739.7127
2000-08-13,1114.4877
2019-12-19,3660.9405
2000-05-21,995.3898
2016-12-28,2274.3129
2009-08-04,843.4961
2009-03-29,631.8859
2000-07-18,1178.454
2001-11-26,699.7482
1995-12-19,383.8143
2015-10-19,2116.6062
2013-01-21,1462.2966
1997-03-26,461.4063
1998-02-03,580.7717
2016-12-18,2287.6501
2003-04-21,546.9833
2001-10-29,617.6249
2019-03-03,3173.621
2019-07-23,3532.8475
2012-08-14,1330.0313
2007-10-15,1226.7677
2006-10-08,1014.0768
2003-08-20,665.9106
1995-08-10,371.5705
2016-02-07,1822.1984
2015-09-29,2023.9981
1998-04-12,636.3882
1998-09-27,551.5911
2002-03-27,704.3714
1988-02-28,132.025
1998-12-20,636.997
1997-03-23,465.7326
2011-02-13,1317.2065
2021-03-17,4849.5331
2010-08-31,986.5195
2004-04-05,800.3193
2013-06-05,1596.1046
1997-01-23,482.9645
1998-06-09,624.9688
2015-11-18,2135.7701
2000-09-10,1182.1104
2003-02-23,502.6752
2009-01-04,691.0849
1999-02-07,668.0599
2000-02-01,1053.8501
1992-10-30,250.989
1996-06-26,432.2492
2007-11-05,1222.4338
2001-04-10,684.98
2005-10-09,891.4392
1996-05-01,437.2129
2005-06-05,864.4037
2009-08-12,855.77
2010-06-03,972.3153
2002-09-30,487.6203
2001-11-15,679.5815
2015-12-29,2124.1678
2016-01-21,1934.7101
2010-04-18,1067.9058
2019-01-13,2821.2348
2013-06-23,1550.1075
2000-06-20,1190.1125
2011-01-02,1235.5287
2009-02-18,609.2968
2002-10-02,471.0796
1995-09-18,394.6583
1997-05-18,484.4001
